document_id,standard_number,title,category,source_url,document_url,local_raw_path,local_cleaned_path,file_type,text_scanned_mixed,OCR_required,version,status,notes
DOC-STD-001,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Laptop/Notebook/Tablets,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-002,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Mobile Phones,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-003,IS 16333 (Part 3),Mobile Phone Handsets Part 3 Indian Language Support for Mobile Phone Handsets - Specific Requirements,Mobile Phones,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-004,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Smart Watches,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-005,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Power Banks for use in portable applications,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-006,IS 16046,"Secondary Cells and Batteries containing Alkaline or other non-acid Electrolytes - Safety Requirements for Portable sealed secondary cells, and for Batteries made from them for use in portable applications",Sealed Secondary Cells/Batteries for portable applications,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-007,IS 302-2-25,Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 25 Microwave ovens,Microwave Ovens,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-008,IS 302 (Part 2): Section 6: 2009,"Safety of household and similar electrical appliances: Part 2 Particular requirements, Section 6 Cooking ranges, hobs, ovens and similar appliances",Induction Stove,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-009,IS 16242 (Part 1),General and Safety Requirements for UPS,UPS/Inverters of rating <= 5 kVA,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
DOC-STD-010,IS 15885 (Part 2/Sec 13),Safety of Lamp Control gear Part 2 Particular Requirements Section 13 d.c. or a.c. Supplied Electronic Control gear for LED Modules,DC or AC Supplied Electronic Control gear for LED Modules,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,,html source page,text,False,Verified from BIS list,source_page_collected_full_standard_unavailable,The row is preserved from the verified seed dataset. A full Indian Standard PDF was not obtained from the official public BIS page; use BIS Standards portal/purchase/download access for full clauses.
